Year;Type;Number of Car Plates Issued
1998;Private;323284
2000;Private;288632
2004;Private;308567
2005;Private;401354
1998;Taxi;13813
2000;Taxi;9591
2009;Taxi;16543
2009;Trucks;164840
2012;Trucks;191386
2016;Trucks;177433
1998;Bus;11780
2000;Bus;9921
2001;Bus;13136
2005;Bus;10909
2008;Bus;10405
2018;Bus;18794
2000;Motor-Cycle;1420
2008;Motor-Cycle;1520
2011;Motor-Cycle;3667
2012;Motor-Cycle;5323
2013;Motor-Cycle;8232
2017;Motor-Cycle;3631
2002;Vehicles;1062
2007;Vehicles;1433
2014;Vehicles;2309
2003;Total;461696
2017;Total;1395709
2018;Total;1417486
1997;Private;305178
2008;Private;497203
2010;Private;491043
2016;Taxi;11174
2017;Taxi;27417
2018;Taxi;28502
2019;Taxi;25013
2002;Trucks;153127
2004;Trucks;109242
2006;Trucks;113590
2007;Trucks;149102
2008;Trucks;145144
2019;Trucks;182670
1997;Bus;8947
1999;Bus;12768
2003;Bus;13096
2007;Bus;7861
2009;Bus;7424
2014;Bus;42487
2017;Bus;23389
2005;Motor-Cycle;2750
2006;Motor-Cycle;4218
2014;Motor-Cycle;6148
2001;Vehicles;538
2006;Vehicles;2787
2019;Vehicles;2691
1997;Total;466152
2000;Total;417891
2002;Total;475780
2004;Total;439588
2005;Total;541939
2009;Total;661227
2012;Total;974944
2014;Total;921774
2001;Private;329672
2003;Private;311668
2011;Private;570364
2014;Private;636979
2015;Private;779737
2017;Private;1118024
2001;Taxi;11566
2003;Taxi;7456
2004;Taxi;7970
2005;Taxi;8896
2006;Taxi;6770
2007;Taxi;7687
2011;Taxi;12827
2015;Taxi;7823
2013;Trucks;209126
2002;Bus;13644
2010;Bus;13565
2011;Bus;16673
2012;Bus;12509
2016;Bus;14606
1999;Motor-Cycle;957
2001;Motor-Cycle;3795
2004;Motor-Cycle;3000
2009;Motor-Cycle;2805
2010;Motor-Cycle;3088
2008;Vehicles;1121
2009;Vehicles;1597
2011;Vehicles;2202
2013;Vehicles;2387
2015;Vehicles;2887
2016;Vehicles;2593
2017;Vehicles;2075
2001;Total;542138
2006;Total;587008
2007;Total;605740
2010;Total;697672
2013;Total;910578
2019;Total;1240773
2006;Private;447932
2007;Private;434160
2009;Private;468018
2012;Private;754637
1999;Taxi;9334
2008;Taxi;9509
2010;Taxi;15509
2012;Taxi;6979
2014;Taxi;13978
1999;Trucks;150441
2000;Trucks;107858
2014;Trucks;219873
2015;Trucks;218640
2018;Trucks;245948
2004;Bus;8394
2006;Bus;11711
2013;Bus;44394
2015;Bus;15909
2007;Motor-Cycle;5497
2016;Motor-Cycle;4866
2018;Motor-Cycle;3829
1999;Vehicles;206
2003;Vehicles;1154
2004;Vehicles;2415
2005;Vehicles;2749
2010;Vehicles;1560
1999;Total;495205
2008;Total;664902
2016;Total;957125
1999;Private;321499
2002;Private;292673
2013;Private;633482
2016;Private;746453
2018;Private;1118089
2019;Private;1012346
1997;Taxi;7420
2002;Taxi;9110
2013;Taxi;12957
1997;Trucks;143064
1998;Trucks;157871
2001;Trucks;183431
2003;Trucks;122719
2005;Trucks;115281
2010;Trucks;172907
2011;Trucks;177804
2017;Trucks;221173
2019;Bus;13334
1997;Motor-Cycle;1543
1998;Motor-Cycle;975
2002;Motor-Cycle;6164
2003;Motor-Cycle;5603
2015;Motor-Cycle;6183
2019;Motor-Cycle;4719
1998;Vehicles;30
2000;Vehicles;469
2012;Vehicles;4110
2018;Vehicles;2324
1998;Total;507753
2011;Total;783537
2015;Total;1031179
